name,ages,team,play_year,country,打,投,出賽數,打席,打數,打點,得分,安打,一安,二安,三安,全壘打,壘打數,被三振,盜壘,上壘率,長打率,打擊率,雙殺打,犧短,犧飛,四壞,故四,死球,盜壘刺,滾地出局,高飛出局,滾飛出局比,盜壘率,整體攻擊指數
何恆佑53,20,統一7-ELEVEn獅,2021,中華民國,左打,右投,6,19,16,2,0,3,3,0,0,0,3,7,0,0.316,0.188,0.188,1,0,0,3,0,0,1,4,2,2.0,0.0,0.504
何献凡0,31,中信,1997,中華民國,右打,右投,70,204,179,21,19,39,30,7,1,1,51,45,9,0.289,0.285,0.218,4,7,0,17,0,1,0,72,30,2.4,1.0,0.574
何献凡0,32,中信,1998,中華民國,右打,右投,79,126,90,4,16,18,18,0,0,0,18,13,6,0.36,0.2,0.2,2,12,1,21,0,2,1,49,23,2.13,0.86,0.56
何献凡0,33,中信,1999,中華民國,右打,右投,74,164,145,16,14,38,33,5,0,0,43,20,3,0.321,0.297,0.262,4,5,1,10,0,3,2,64,29,2.207,0.6,0.618
何献凡0,34,中信,2000,中華民國,右打,右投,70,225,197,18,19,43,35,5,1,2,56,30,4,0.292,0.284,0.218,3,6,1,20,0,1,1,81,50,1.62,0.8,0.5760000000000001
何献凡0,35,中信,2001,中華民國,右打,右投,52,91,78,5,4,20,18,2,0,0,22,16,2,0.31,0.282,0.256,2,7,0,5,0,1,0,35,14,2.5,1.0,0.5920000000000001
何献凡0,36,中信,2002,中華民國,右打,右投,17,16,12,5,2,2,1,0,0,1,5,4,0,0.214,0.41700000000000004,0.16699999999999998,0,2,1,1,0,0,1,7,2,3.5,0.0,0.631
何良志0,29,三商,1990,中華民國,右打,右投,86,330,278,15,47,67,58,5,4,0,80,33,12,0.342,0.28800000000000003,0.24100000000000002,8,8,1,43,0,0,6,131,56,2.339,0.67,0.63
何良志0,30,三商,1991,中華民國,右打,右投,36,58,52,2,5,7,6,1,0,0,8,6,1,0.22399999999999998,0.154,0.135,1,0,0,6,0,0,4,27,12,2.25,0.2,0.37799999999999995
何良志0,31,三商,1992,中華民國,右打,右投,15,19,16,0,4,0,0,0,0,0,0,3,0,0.158,0.0,0.0,1,0,0,3,0,0,0,12,1,12.0,0.0,0.158
何良志0,32,三商,1993,中華民國,右打,右投,64,185,162,17,13,42,35,5,2,0,51,21,1,0.326,0.315,0.259,3,7,0,15,0,1,3,76,30,2.533,0.25,0.6409999999999999
何良志0,33,三商,1994,中華民國,右打,右投,62,114,105,2,11,21,18,3,0,0,24,18,0,0.23600000000000002,0.22899999999999998,0.2,4,4,0,4,0,1,1,51,19,2.6839999999999997,0.0,0.465
何良志0,34,三商,1995,中華民國,右打,右投,88,285,236,16,27,47,38,8,0,1,58,31,2,0.281,0.24600000000000002,0.19899999999999998,4,22,0,23,0,4,3,134,46,2.9130000000000003,0.4,0.527
何良志0,35,三商,1996,中華民國,右打,右投,42,119,101,10,12,28,28,0,0,0,28,21,1,0.33,0.27699999999999997,0.27699999999999997,2,7,2,6,0,3,1,48,13,3.6919999999999997,0.5,0.607
何良志0,36,三商,1997,中華民國,右打,右投,19,26,25,0,2,4,4,0,0,0,4,3,0,0.192,0.16,0.16,1,0,0,1,0,0,1,13,5,2.6,0.0,0.35200000000000004
何良志0,36,三商,1997,中華民國,右打,右投,19,26,25,0,2,4,4,0,0,0,4,3,0,0.192,0.16,0.16,1,0,0,1,0,0,1,13,5,2.6,0.0,0.35200000000000004
余富誠0,32,統一7-ELEVEn獅,1990,中華民國,右打,右投,82,246,228,32,21,46,36,5,3,2,63,54,4,0.248,0.276,0.20199999999999999,4,4,0,12,0,2,0,77,55,1.4,1.0,0.524
余富誠0,33,統一7-ELEVEn獅,1991,中華民國,右打,右投,87,223,193,15,19,39,29,7,1,2,54,55,3,0.249,0.28,0.20199999999999999,2,18,0,12,0,0,3,72,45,1.6,0.5,0.529
余富誠0,34,統一7-ELEVEn獅,1992,中華民國,右打,右投,52,92,82,7,6,15,10,4,1,0,21,17,0,0.256,0.256,0.183,0,2,0,8,0,0,1,27,25,1.08,0.0,0.512
余富誠0,35,統一7-ELEVEn獅,1993,中華民國,右打,右投,32,72,64,7,4,13,9,3,0,1,19,10,0,0.257,0.297,0.203,3,2,1,5,0,0,2,26,18,1.444,0.0,0.5539999999999999
余富誠0,36,統一7-ELEVEn獅,1994,中華民國,右打,右投,32,48,45,4,5,13,11,0,1,1,18,11,0,0.27699999999999997,0.4,0.289,0,1,2,0,0,0,0,11,13,0.846,0.0,0.677
余富誠0,37,統一7-ELEVEn獅,1995,中華民國,右打,右投,9,8,7,0,1,1,1,0,0,0,1,3,0,0.14300000000000002,0.14300000000000002,0.14300000000000002,0,1,0,0,0,0,0,2,2,1.0,0.0,0.28600000000000003
余德龍36,24,Lamigo,2012,中華民國,右打,右投,81,113,102,17,20,25,22,2,0,1,30,20,6,0.29100000000000004,0.294,0.245,4,3,1,5,0,2,1,40,21,1.905,0.86,0.585
