name,age,team,play_year,country,打,投,守備位置,出賽數,守備機會,刺殺,助殺,失誤,雙殺,三殺,守備率
何献凡0,36,中信,2002,中華民國,右打,右投,游擊手,6,15,4,10,1,1,0,0.9329999999999999
何献凡0,36,中信,2002,中華民國,右打,右投,一壘手,3,16,15,1,0,1,0,1.0
何良志0,29,三商,1990,中華民國,右打,右投,外野手,87,167,157,7,3,1,0,0.982
何良志0,30,三商,1991,中華民國,右打,右投,外野手,22,34,34,0,0,0,0,1.0
何良志0,31,三商,1992,中華民國,右打,右投,外野手,10,10,10,0,0,0,0,1.0
何良志0,32,三商,1993,中華民國,右打,右投,外野手,59,121,112,5,4,2,0,0.9670000000000001
何良志0,33,三商,1994,中華民國,右打,右投,外野手,45,42,38,1,3,0,0,0.929
何良志0,33,三商,1994,中華民國,右打,右投,捕手,1,0,0,0,0,0,0,0.0
何良志0,34,三商,1995,中華民國,右打,右投,外野手,89,117,107,5,5,1,0,0.9570000000000001
何良志0,34,三商,1995,中華民國,右打,右投,捕手,1,0,0,0,0,0,0,0.0
何良志0,35,三商,1996,中華民國,右打,右投,外野手,43,61,57,2,2,1,0,0.9670000000000001
何良志0,36,時報,1997,中華民國,右打,右投,外野手,45,68,62,1,5,1,0,0.9259999999999999
何良志0,36,三商,1997,中華民國,右打,右投,外野手,20,12,11,1,0,0,0,1.0
余富誠0,32,統一7-ELEVEn獅,1990,中華民國,右打,右投,三壘手,74,200,51,131,18,6,0,0.91
余富誠0,32,統一7-ELEVEn獅,1990,中華民國,右打,右投,二壘手,9,27,12,10,5,3,0,0.815
余富誠0,33,統一7-ELEVEn獅,1991,中華民國,右打,右投,三壘手,87,235,52,170,13,11,0,0.945
余富誠0,34,統一7-ELEVEn獅,1992,中華民國,右打,右投,三壘手,40,67,14,49,4,6,0,0.94
余富誠0,34,統一7-ELEVEn獅,1992,中華民國,右打,右投,外野手,2,1,1,0,0,0,0,1.0
余富誠0,35,統一7-ELEVEn獅,1993,中華民國,右打,右投,三壘手,31,63,14,41,8,1,0,0.873
余富誠0,36,統一7-ELEVEn獅,1994,中華民國,右打,右投,三壘手,27,30,2,25,3,2,0,0.9
余富誠0,37,統一7-ELEVEn獅,1995,中華民國,右打,右投,三壘手,6,7,3,3,1,0,0,0.857
余富誠0,37,統一7-ELEVEn獅,1995,中華民國,右打,右投,二壘手,2,3,1,2,0,0,0,1.0
余德龍36,24,Lamigo,2012,中華民國,右打,右投,外野手,72,73,63,8,2,0,0,0.973
余德龍36,24,Lamigo,2012,中華民國,右打,右投,三壘手,6,5,0,4,1,1,0,0.8
余德龍36,25,Lamigo,2013,中華民國,右打,右投,外野手,81,103,89,12,2,1,0,0.981
余德龍36,25,Lamigo,2013,中華民國,右打,右投,一壘手,36,319,293,21,5,31,0,0.9840000000000001
余德龍36,25,Lamigo,2013,中華民國,右打,右投,三壘手,35,87,20,61,6,10,0,0.9309999999999999
余德龍36,25,Lamigo,2013,中華民國,右打,右投,游擊手,2,3,0,2,1,1,0,0.667
余德龍36,26,Lamigo,2014,中華民國,右打,右投,外野手,81,111,103,8,0,0,0,1.0
余德龍36,26,Lamigo,2014,中華民國,右打,右投,一壘手,17,112,101,11,0,11,0,1.0
余德龍36,26,Lamigo,2014,中華民國,右打,右投,游擊手,13,67,29,35,3,10,0,0.955
余德龍36,26,Lamigo,2014,中華民國,右打,右投,三壘手,8,19,7,11,1,0,0,0.9470000000000001
余德龍36,26,Lamigo,2014,中華民國,右打,右投,投手,2,0,0,0,0,0,0,0.0
余德龍36,27,Lamigo,2015,中華民國,右打,右投,外野手,97,167,150,14,3,1,0,0.982
余德龍36,27,Lamigo,2015,中華民國,右打,右投,游擊手,12,35,17,17,1,7,0,0.971
余德龍36,27,Lamigo,2015,中華民國,右打,右投,一壘手,8,45,38,7,0,7,0,1.0
余德龍36,27,Lamigo,2015,中華民國,右打,右投,三壘手,1,2,0,2,0,0,0,1.0
余德龍36,28,Lamigo,2016,中華民國,右打,右投,外野手,83,88,82,5,1,2,0,0.9890000000000001
余德龍36,28,Lamigo,2016,中華民國,右打,右投,游擊手,30,123,51,65,7,19,0,0.943
余德龍36,28,Lamigo,2016,中華民國,右打,右投,二壘手,13,46,22,23,1,2,0,0.978
余德龍36,28,Lamigo,2016,中華民國,右打,右投,三壘手,9,5,2,3,0,0,0,1.0
余德龍36,28,Lamigo,2016,中華民國,右打,右投,一壘手,2,4,4,0,0,2,0,1.0
余德龍36,29,Lamigo,2017,中華民國,右打,右投,外野手,31,27,26,0,1,0,0,0.963
余德龍36,29,Lamigo,2017,中華民國,右打,右投,游擊手,21,85,37,44,4,16,0,0.953
余德龍36,29,Lamigo,2017,中華民國,右打,右投,三壘手,11,14,2,12,0,0,0,1.0
余德龍36,29,Lamigo,2017,中華民國,右打,右投,二壘手,6,28,14,13,1,3,0,0.9640000000000001
余德龍36,30,Lamigo,2018,中華民國,右打,右投,外野手,21,28,27,0,1,0,0,0.9640000000000001
余德龍36,30,Lamigo,2018,中華民國,右打,右投,游擊手,16,38,20,17,1,3,0,0.9740000000000001
余德龍36,30,Lamigo,2018,中華民國,右打,右投,三壘手,3,3,0,2,1,0,0,0.667
余德龍36,30,Lamigo,2018,中華民國,右打,右投,一壘手,1,2,1,1,0,0,0,1.0
余德龍36,31,Lamigo,2019,中華民國,右打,右投,外野手,30,35,33,2,0,0,0,1.0
余德龍36,31,Lamigo,2019,中華民國,右打,右投,游擊手,22,60,19,38,3,9,0,0.95
余德龍36,31,Lamigo,2019,中華民國,右打,右投,三壘手,5,6,3,1,2,0,0,0.667
